,das,era,mc,name,type
57,/BFFZprimeToMuMu_M-200-dbs1p0_TuneCP5_13TeV-madgraph-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,2018,1,BFF_200_dbs1p0,BFF
58,/BFFZprimeToMuMu_M-200_TuneCP5_13TeV-madgraph-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,2018,1,BFF_200_dbs0p04,BFF
59,/BFFZprimeToMuMu_M-200_dbs0p5_TuneCP5_13TeV-madgraph-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,2018,1,BFF_200_dbs0p5,BFF
60,/BFFZprimeToMuMu_M-250_TuneCP5_13TeV-madgraph-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,2018,1,BFF_250_dbs0p04,BFF
61,/BFFZprimeToMuMu_M-300_TuneCP5_13TeV-madgraph-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,2018,1,BFF_300_dbs0p04,BFF
62,/BFFZprimeToMuMu_M-350_TuneCP5_13TeV-madgraph-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,2018,1,BFF_350_dbs0p04,BFF
63,/BFFZprimeToMuMu_M-350_dbs0p5_TuneCP5_13TeV-madgraph-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,2018,1,BFF_350_dbs0p5,BFF
64,/BFFZprimeToMuMu_M-350_dbs1p0_TuneCP5_13TeV-madgraph-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,2018,1,BFF_350_dbs1p0,BFF
65,/BFFZprimeToMuMu_M-400_TuneCP5_13TeV-madgraph-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,2018,1,BFF_400_dbs0p04,BFF
66,/BFFZprimeToMuMu_M-450_TuneCP5_13TeV-madgraph-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,2018,1,BFF_450_dbs0p04,BFF
67,/BFFZprimeToMuMu_M-500_TuneCP5_13TeV-madgraph-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,2018,1,BFF_500_dbs0p04,BFF
68,/BFFZprimeToMuMu_M-500_dbs0p5_TuneCP5_13TeV-madgraph-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,2018,1,BFF_500_dbs0p5,BFF
69,/BFFZprimeToMuMu_M-500_dbs1p0_TuneCP5_13TeV-madgraph-pythia8/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,2018,1,BFF_500_dbs1p0,BFF
70,/ZToEE_NNPDF31_TuneCP5_13TeV-powheg_M_120_200/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,2018,1,ZToEE_120_200,DY
71,/ZToEE_NNPDF31_TuneCP5_13TeV-powheg_M_200_400/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,2018,1,ZToEE_200_400,DY
72,/ZToEE_NNPDF31_TuneCP5_13TeV-powheg_M_400_800/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,2018,1,ZToEE_400_800,DY
73,/ZToEE_NNPDF31_TuneCP5_13TeV-powheg_M_50_120/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,2018,1,ZToEE_50_120,DY
74,/ZToEE_NNPDF31_TuneCP5_13TeV-powheg_M_800_1400/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,2018,1,ZToEE_800_1400,DY
75,/ZToMuMu_NNPDF31_13TeV-powheg_M_120_200/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,2018,1,ZToMuMu_120_200,DY
76,/ZToMuMu_NNPDF31_13TeV-powheg_M_200_400/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,2018,1,ZToMuMu_200_400,DY
77,/ZToMuMu_NNPDF31_13TeV-powheg_M_400_800/RunIIAutumn18NanoAODv7-Nano02Apr2020_102X_upgrade2018_realistic_v21-v1/NANOAODSIM,2018,1,ZToMuMu_400_800,DY
