# BEGIN DATA
Process=pp -> en~j
Proc=enj
Sqrt=13 TeV
Unit=pb/GeV
Timestamp=2017-10-16 14:02:08
# END DATA

# BEGIN HISTO1D enj_pTV_LO
# xlow   xhigh   val   errminus  errplus
1.100000e+03 1.200000e+03 1.589207e+00 2.066287e-04 2.066287e-04
1.200000e+03 1.300000e+03 1.598158e+00 2.224993e-04 2.224993e-04
1.300000e+03 1.400000e+03 1.608069e+00 2.568707e-04 2.568707e-04
1.400000e+03 1.600000e+03 1.621699e+00 1.910215e-04 1.910215e-04
1.600000e+03 1.800000e+03 1.642789e+00 2.477088e-04 2.477088e-04
1.800000e+03 2.000000e+03 1.665119e+00 3.287076e-04 3.287076e-04
2.000000e+03 2.200000e+03 1.688370e+00 1.227801e-04 1.227801e-04
2.200000e+03 2.400000e+03 1.712170e+00 1.379362e-04 1.379362e-04
2.400000e+03 2.600000e+03 1.735255e+00 1.700778e-04 1.700778e-04
2.600000e+03 2.800000e+03 1.759708e+00 2.152650e-04 2.152650e-04
2.800000e+03 3.000000e+03 1.781694e+00 2.734356e-04 2.734356e-04
3.000000e+03 6.500000e+03 1.811299e+00 2.289376e-04 2.289376e-04
# END HISTO1D

# BEGIN HISTO1D enj_pTV_NLO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 4.833470e+01 1.456763e-02 1.456763e-02
4.000000e+01 5.000000e+01 2.798682e+01 9.121519e-03 9.121519e-03
5.000000e+01 6.000000e+01 1.716055e+01 6.531855e-03 6.531855e-03
6.000000e+01 7.000000e+01 1.093992e+01 4.855048e-03 4.855048e-03
7.000000e+01 8.000000e+01 7.182476e+00 3.667866e-03 3.667866e-03
8.000000e+01 9.000000e+01 4.837138e+00 1.711721e-03 1.711721e-03
9.000000e+01 1.000000e+02 3.328163e+00 1.182059e-03 1.182059e-03
1.000000e+02 1.100000e+02 2.333373e+00 9.042780e-04 9.042780e-04
1.100000e+02 1.200000e+02 1.666504e+00 6.808809e-04 6.808809e-04
1.200000e+02 1.300000e+02 1.208864e+00 5.531755e-04 5.531755e-04
1.300000e+02 1.400000e+02 8.889925e-01 4.560010e-04 4.560010e-04
1.400000e+02 1.500000e+02 6.636268e-01 3.431671e-04 3.431671e-04
1.500000e+02 2.000000e+02 3.183086e-01 5.128448e-05 5.128448e-05
2.000000e+02 2.500000e+02 9.784669e-02 2.055023e-05 2.055023e-05
2.500000e+02 3.000000e+02 3.611704e-02 9.309486e-06 9.309486e-06
3.000000e+02 3.500000e+02 1.519254e-02 2.202325e-06 2.202325e-06
3.500000e+02 4.000000e+02 7.048798e-03 1.270448e-06 1.270448e-06
4.000000e+02 4.500000e+02 3.525455e-03 8.961483e-07 8.961483e-07
4.500000e+02 5.000000e+02 1.873036e-03 3.785669e-07 3.785669e-07
5.000000e+02 5.500000e+02 1.045013e-03 2.374122e-07 2.374122e-07
5.500000e+02 6.000000e+02 6.068124e-04 1.533611e-07 1.533611e-07
