DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, comb, down_uncorrelated, 1, -2.5, 2.5, 30, 50, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))-0.00968243460889"
0, comb, down_uncorrelated, 0, -2.5, 2.5, 100, 140, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))-0.00282062797805"
0, comb, down_uncorrelated, 0, -2.5, 2.5, 70, 100, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))-0.00286543207193"
0, comb, down_uncorrelated, 0, -2.5, 2.5, 200, 300, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))-0.00320371322705"
0, comb, down_uncorrelated, 0, -2.5, 2.5, 300, 600, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))-0.0173369407946"
0, comb, down_uncorrelated, 0, -2.5, 2.5, 140, 200, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))-0.00258159712795"
0, comb, down_uncorrelated, 0, -2.5, 2.5, 50, 70, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))-0.00377022884746"
0, comb, down_uncorrelated, 0, -2.5, 2.5, 20, 30, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))-0.0124092995"
0, comb, down_uncorrelated, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))-0.0414452845466"
0, comb, down_uncorrelated, 0, -2.5, 2.5, 30, 50, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))-0.00387297377075"
0, comb, up, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))+0.061678234487771988"
0, comb, up, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))+0.032233506441116333"
0, comb, up, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))+0.030768521130084991"
0, comb, up, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))+0.029403112828731537"
0, comb, up, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))+0.029279418289661407"
0, comb, up, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))+0.030047547072172165"
0, comb, up, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))+0.034353077411651611"
0, comb, up, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))+0.068900331854820251"
0, comb, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))+0.14984135329723358"
0, comb, up, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))+0.024671293795108795"
0, comb, up, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))+0.012893402948975563"
0, comb, up, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))+0.012307408265769482"
0, comb, up, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))+0.01176124531775713"
0, comb, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))+0.011711766943335533"
0, comb, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))+0.012019018642604351"
0, comb, up, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))+0.013741230592131615"
0, comb, up, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))+0.02756013348698616"
0, comb, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x))))+0.059936542063951492"
0, comb, up_correlated, 1, -2.5, 2.5, 100, 140, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))+0.0284175948741"
0, comb, up_correlated, 1, -2.5, 2.5, 70, 100, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))+0.0285171205329"
0, comb, up_correlated, 1, -2.5, 2.5, 200, 300, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))+0.0334063663479"
0, comb, up_correlated, 1, -2.5, 2.5, 300, 600, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))+0.0535602114857"
0, comb, up_correlated, 1, -2.5, 2.5, 140, 200, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))+0.0293462274063"
0, comb, up_correlated, 1, -2.5, 2.5, 50, 70, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))+0.0292892554415"
0, comb, up_correlated, 1, -2.5, 2.5, 20, 30, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))+0.0533081858336"
0, comb, up_correlated, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))+0.108243860229"
0, comb, up_correlated, 1, -2.5, 2.5, 30, 50, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))+0.0307449084815"
0, comb, up_correlated, 0, -2.5, 2.5, 100, 140, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))+0.0113670375536"
0, comb, up_correlated, 0, -2.5, 2.5, 70, 100, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))+0.011406848402"
0, comb, up_correlated, 0, -2.5, 2.5, 200, 300, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))+0.013362546155"
0, comb, up_correlated, 0, -2.5, 2.5, 300, 600, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))+0.0214240855512"
0, comb, up_correlated, 0, -2.5, 2.5, 140, 200, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))+0.0117384907633"
0, comb, up_correlated, 0, -2.5, 2.5, 50, 70, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))+0.0117157019704"
0, comb, up_correlated, 0, -2.5, 2.5, 20, 30, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))+0.0213232742196"
0, comb, up_correlated, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))+0.0432975456976"
0, comb, up_correlated, 0, -2.5, 2.5, 30, 50, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))+0.0122979638061"
0, comb, up_uncorrelated, 1, -2.5, 2.5, 100, 140, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))+0.00705156982179"
0, comb, up_uncorrelated, 1, -2.5, 2.5, 70, 100, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))+0.0071635801475"
0, comb, up_uncorrelated, 1, -2.5, 2.5, 200, 300, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))+0.00800928305651"
0, comb, up_uncorrelated, 1, -2.5, 2.5, 300, 600, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))+0.0433423519817"
0, comb, up_uncorrelated, 1, -2.5, 2.5, 140, 200, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))+0.00645399272322"
0, comb, up_uncorrelated, 1, -2.5, 2.5, 50, 70, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))+0.00942557203645"
0, comb, up_uncorrelated, 1, -2.5, 2.5, 20, 30, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))+0.0310232482609"
0, comb, up_uncorrelated, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))+0.103613212867"
0, comb, up_uncorrelated, 1, -2.5, 2.5, 30, 50, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))+0.00968243460889"
0, comb, up_uncorrelated, 0, -2.5, 2.5, 100, 140, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))+0.00282062797805"
0, comb, up_uncorrelated, 0, -2.5, 2.5, 70, 100, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))+0.00286543207193"
0, comb, up_uncorrelated, 0, -2.5, 2.5, 200, 300, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))+0.00320371322705"
0, comb, up_uncorrelated, 0, -2.5, 2.5, 300, 600, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))+0.0173369407946"
0, comb, up_uncorrelated, 0, -2.5, 2.5, 140, 200, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))+0.00258159712795"
0, comb, up_uncorrelated, 0, -2.5, 2.5, 50, 70, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))+0.00377022884746"
0, comb, up_uncorrelated, 0, -2.5, 2.5, 20, 30, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))+0.0124092995"
0, comb, up_uncorrelated, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))+0.0414452845466"
0, comb, up_uncorrelated, 0, -2.5, 2.5, 30, 50, 0, 1, "0.971065*((1.+(0.0100459*x))/(1.+(0.00975219*x)))+0.00387297377075"
0, mujets, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))"
0, mujets, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x)))"
0, mujets, down, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x))))-0.06751975417137146"
0, mujets, down, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x))))-0.049072399735450745"
0, mujets, down, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x))))-0.045010451227426529"
0, mujets, down, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x))))-0.050811700522899628"
0, mujets, down, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x))))-0.06824319064617157"
0, mujets, down, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x))))-0.090174674987792969"
0, mujets, down, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x))))-0.073042541742324829"
0, mujets, down, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x))))-0.080967634916305542"
0, mujets, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x))))-0.1517016589641571"
0, mujets, down, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x))))-0.027007902041077614"
0, mujets, down, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x))))-0.019628960639238358"
0, mujets, down, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x))))-0.018004180863499641"
0, mujets, down, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.988596*((1.+(0.00369167*x))/(1.+(0.00366552*x))))-0.020324680954217911"
